,Unnamed: 0,Area,equivalent_diameter,MajorAxisLength,MinorAxisLength,Perimeter,Circularity
27,28,887.4585000000001,33.6146881067094,38.90795551663476,30.97039367716812,120.29325424985495,0.7706822732103522
28,29,137.30490000000003,13.222028148733727,16.87306419346484,11.691506896700702,45.25209737228488,0.842594217371043
29,30,180.8406,15.174103044781056,23.33359764162677,9.93465645487792,54.0881190105704,0.7767871743966772
32,33,291.3543,19.260420979008536,25.86480433052424,14.841073085613372,65.0681190105704,0.8647584042464432
33,34,1413.2358000000002,42.41919031046484,57.94511043936813,34.88656548666338,178.86441112742503,0.5551068931924706
34,35,693.2223000000001,29.709224925134997,39.22152076243844,23.57284144071451,107.35320015414112,0.7558792069290097
35,36,2779.5870000000004,59.49016798120322,66.27626378210105,54.53632230282641,206.36828129771183,0.8201706830171228
38,39,2605.4442000000004,57.5964806827715,84.72824773547744,46.131034214290565,254.2957302921365,0.5063065011219879
40,41,244.46970000000005,17.642802768538278,25.892295517342653,13.790040267780766,67.78618392542698,0.6685786935823477
42,43,113.8626,12.04053009573756,15.696453751569482,10.380136599227004,40.45508114357073,0.8742684523495223
43,44,639.6399000000001,28.53795393980523,34.44871987503645,25.761787025096485,106.66021638285528,0.7065460778833283
46,47,870.7140000000002,33.29605827954013,47.6589921736323,31.714639147186595,188.9024760422816,0.3066267857510709
47,48,1473.516,43.314418396187406,51.42507449361008,37.8930173065054,150.39629211685465,0.818635288187728
48,49,1339.5600000000002,41.29867751569576,46.1963217832642,40.206971296121154,151.1543029359974,0.7367684245331759
49,50,2093.0625000000005,51.62334689461971,74.42116461750028,56.17085245481634,379.3860007707057,0.18273824841971983
51,52,210.9807,16.38990452735787,19.364728376359064,14.23000332688214,53.016129829713165,0.9432711477921327
52,53,847.2717000000001,32.844783962982426,46.20726138040469,24.132071612310728,119.6002704785691,0.7443346576022218
53,54,1208.9529000000002,39.233743639910976,54.17407664557407,29.51653282935444,140.93231375514017,0.764888411854829
54,55,237.7719,17.399442109068172,40.99467573390233,11.333157578474903,94.54320015414112,0.33427953953217654
